player,team,age,position,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Kawhi Leonard,SAS,20,SF,64,1534,507,199,404,68,88,70,327,85,24,44,88
Travis Leslie,LAC,21,SG,10,45,14,5,14,4,9,5,9,2,2,2,4
Jon Leuer,MIL,22,PF,46,555,218,97,191,21,28,25,120,14,17,18,67
Rashard Lewis,WAS,32,SF,28,729,217,85,221,31,37,27,109,23,10,32,49
DeAndre Liggins,ORL,23,SF,17,115,33,12,25,9,19,5,15,6,0,10,6
Jeremy Lin,NYK,23,PG,35,940,512,171,383,146,183,216,107,55,9,126,78
Shaun Livingston,MIL,26,SG,58,1092,318,127,271,62,79,122,123,27,20,66,79
Brook Lopez,NJN,23,C,5,136,96,38,77,20,32,6,18,1,4,6,8
Robin Lopez,PHO,23,C,64,895,348,124,269,100,140,20,209,18,60,43,128
Kevin Love,MIN,23,PF,55,2145,1432,474,1059,379,460,111,734,47,28,128,152
Kyle Lowry,HOU,25,PG,47,1510,670,210,513,171,198,310,213,73,14,130,133
John Lucas,CHI,29,PG,49,726,369,143,358,28,32,108,76,19,1,42,42
Shelvin Mack,WAS,21,PG,64,779,230,88,220,42,59,131,92,28,2,48,50
Vernon Macklin,DET,25,C,23,135,46,19,35,8,14,5,34,4,4,3,9
Corey Maggette,CHA,32,SF,32,881,480,139,373,178,208,39,125,23,1,59,83
Jamaal Magloire,TOR,33,C,34,374,41,17,45,7,27,6,113,4,10,22,66
Ian Mahinmi,DAL,25,C,61,1139,354,130,238,94,147,12,289,38,31,50,176
Shawn Marion,DAL,33,SF,63,1919,670,288,646,74,93,132,465,67,36,98,87
Cartier Martin,WAS,27,SF,17,391,158,59,134,11,19,10,58,11,2,13,35
Kenyon Martin,LAC,34,PF,42,940,217,97,220,20,54,18,181,44,43,32,103
Kevin Martin,HOU,28,SG,40,1264,682,222,537,160,179,110,106,28,3,70,70
Roger Mason,WAS,31,SG,52,697,286,103,258,21,27,47,69,13,5,32,33
Wesley Matthews,POR,25,SG,66,2228,904,314,763,147,171,113,224,96,15,73,148
Jason Maxiell,DET,28,PF,65,1466,424,183,383,58,106,41,333,32,50,71,151
Eric Maynor,OKC,24,PG,9,137,38,14,39,4,4,22,13,5,0,11,13
O.J. Mayo,MEM,24,SG,66,1771,833,300,736,133,172,169,210,71,23,124,137
Luc Mbah a Moute,MIL,25,PF,43,1009,333,133,261,66,103,29,227,40,22,39,93
JaVale McGee,TOT,24,C,61,1535,691,307,552,77,167,31,477,35,132,87,166
JaVale McGee,WAS,24,C,41,1124,486,214,400,58,116,25,362,25,101,68,118
JaVale McGee,DEN,24,C,20,411,205,93,152,19,51,6,115,10,31,19,48
Tracy McGrady,ATL,32,SF,52,837,273,101,231,56,83,110,154,16,15,53,35
Dominic McGuire,GSW,26,PF,64,1127,227,94,210,39,53,110,246,44,36,56,104
Josh McRoberts,LAL,24,PF,50,718,138,56,118,23,36,51,171,15,18,31,74
Jodie Meeks,PHI,24,SG,66,1644,556,191,467,77,85,54,161,40,3,29,82
C.J. Miles,UTA,24,SG,56,1145,508,177,465,108,136,69,116,46,18,53,122
Darko Milicic,MIN,26,C,29,472,134,59,130,16,37,17,97,9,25,32,59
Andre Miller,DEN,35,SG,66,1809,639,242,552,137,169,441,221,63,9,177,133
Brad Miller,MIN,35,C,15,146,35,9,27,10,12,24,19,4,2,12,10
Mike Miller,MIA,31,SG,39,752,237,91,209,2,5,42,128,14,6,30,58
Patrick Mills,SAS,23,PG,16,261,165,63,130,15,15,39,28,10,1,26,14
Paul Millsap,UTA,26,PF,64,2100,1061,426,861,202,255,150,563,118,52,112,222
Nazr Mohammed,OKC,34,C,63,692,171,79,169,13,23,14,170,20,37,26,101
Greg Monroe,DET,21,C,66,2082,1015,407,781,201,272,152,637,83,46,161,180
Jamario Moon,CHA,31,SF,8,123,18,7,24,2,2,5,22,1,5,8,5
E'Twaun Moore,BOS,22,PG,38,331,110,43,113,7,7,34,33,11,3,21,33
Mikki Moore,GSW,36,C,7,118,24,9,20,6,7,5,22,3,3,7,24
Darius Morris,LAL,21,PG,19,169,46,18,42,6,9,21,16,2,0,19,16
Marcus Morris,HOU,22,PF,17,126,40,16,54,6,8,3,16,2,2,4,12
Markieff Morris,PHO,22,PF,63,1227,467,174,436,76,106,65,279,41,42,70,179
Anthony Morrow,NJN,26,SG,62,1636,747,272,658,97,104,61,127,46,9,70,86
Timofey Mozgov,DEN,25,C,44,687,239,100,190,39,57,22,179,15,42,53,86
Byron Mullens,CHA,22,C,65,1465,606,251,591,92,112,57,327,21,52,74,137
Troy Murphy,LAL,31,PF,59,956,188,77,171,6,9,51,191,15,16,26,98
Hamady N'Diaye,WAS,25,C,3,3,0,0,1,0,0,0,0,0,0,0,0
Eduardo Najera,CHA,35,PF,22,270,58,24,64,2,4,12,50,19,4,7,40
Steve Nash,PHO,37,PG,62,1961,772,295,555,127,142,664,186,38,8,229,53
Gary Neal,SAS,27,SG,56,1206,557,212,486,50,64,117,118,27,2,60,75
Jameer Nelson,ORL,29,PG,57,1706,676,259,606,71,88,325,181,38,5,135,130
Joakim Noah,CHI,26,C,64,1945,652,249,490,154,206,160,629,41,92,92,162
Andres Nocioni,PHI,32,SF,11,56,17,5,20,6,11,1,14,1,1,5,4
Steve Novak,NYK,28,PF,54,1020,477,161,337,22,26,12,104,16,9,21,59
Dirk Nowitzki,DAL,33,PF,62,2079,1342,473,1034,318,355,136,418,42,30,117,129
Jermaine O'Neal,BOS,33,C,25,570,125,52,120,21,31,10,135,8,43,21,80
Lamar Odom,DAL,32,SF,50,1027,332,123,349,58,98,83,208,20,18,52,97
Emeka Okafor,NOH,29,C,27,781,266,114,214,38,74,24,213,16,26,37,73
Mehmet Okur,NJN,32,C,17,454,130,52,139,3,5,30,81,9,5,25,45
Daniel Orton,ORL,21,PF,16,187,45,17,30,11,25,5,39,8,9,7,30
Travis Outlaw,SAC,27,SF,39,500,167,60,175,31,46,16,61,19,21,20,34
Larry Owens,NJN,29,SF,7,75,13,4,11,3,4,4,13,0,1,2,10
Zaza Pachulia,ATL,27,C,58,1640,455,169,339,117,158,79,457,55,29,81,172
Jannero Pargo,ATL,32,PG,50,671,282,105,253,19,20,96,73,20,2,49,64
Jeremy Pargo,MEM,25,PG,44,424,126,50,150,16,27,55,37,15,0,46,46
Anthony Parker,CLE,36,SF,51,1280,367,141,326,35,56,120,138,38,7,50,65
Tony Parker,SAS,29,PG,60,1923,1095,427,890,227,284,463,171,57,5,153,75
Chandler Parsons,HOU,23,SF,63,1804,599,248,549,43,78,134,300,73,29,81,142
Patrick Patterson,HOU,22,PF,64,1483,490,225,511,40,57,53,286,27,36,49,113
Chris Paul,LAC,26,PG,60,2181,1189,425,890,260,302,543,213,152,4,124,138
Sasha Pavlovic,BOS,28,SF,45,527,120,50,128,3,8,18,72,20,15,20,54
Nikola Pekovic,MIN,26,C,47,1264,651,256,454,139,187,31,346,29,31,87,98
Kendrick Perkins,OKC,27,C,65,1744,329,128,262,73,112,78,426,25,73,118,189
Johan Petro,NJN,26,C,59,920,250,109,260,31,37,45,224,21,23,38,122
Paul Pierce,BOS,34,SF,61,2075,1181,394,890,293,344,274,317,70,26,173,147
Mickael Pietrus,BOS,29,SG,42,921,289,104,270,20,31,25,130,21,10,33,81
Dexter Pittman,MIA,23,C,35,301,106,44,94,18,28,9,71,8,8,17,73
Quincy Pondexter,MEM,23,SF,64,1002,271,108,239,33,53,27,126,27,5,30,90
A.J. Price,IND,25,PG,44,568,172,59,174,28,35,86,61,20,2,32,30
Ronnie Price,PHO,28,PG,36,517,131,49,130,20,25,67,56,34,3,46,72
Tayshaun Prince,DET,31,SF,63,2087,798,336,798,89,115,153,281,27,32,74,77
Joel Przybilla,POR,32,C,27,449,55,22,48,11,18,6,138,4,16,22,66
Vladimir Radmanovic,ATL,31,SF,49,755,220,74,197,22,29,54,143,21,15,35,62
Anthony Randolph,MIN,22,PF,34,517,252,94,200,64,84,19,123,13,35,40,56
Zach Randolph,MEM,30,PF,28,735,324,132,285,58,88,48,225,21,4,40,57
Michael Redd,PHO,32,SG,51,770,418,144,360,88,111,33,77,13,0,37,29
J.J. Redick,ORL,27,SG,65,1765,751,248,584,143,157,164,150,27,6,68,92
Ryan Reid,OKC,25,PF,5,17,8,4,5,0,0,0,2,0,0,1,1
Jason Richardson,ORL,31,SG,54,1591,629,243,596,41,69,107,194,53,22,60,91
Quentin Richardson,ORL,31,SF,48,866,215,74,197,25,30,38,123,28,6,29,74
Luke Ridnour,MIN,30,SG,53,1750,639,242,550,106,119,252,141,56,16,96,136
Nate Robinson,GSW,27,PG,51,1192,570,205,484,94,113,231,100,59,2,75,118
Rajon Rondo,BOS,25,PG,53,1957,630,256,572,108,181,620,257,95,3,193,99
Derrick Rose,CHI,23,PG,39,1375,852,302,695,194,239,307,131,35,28,119,52
Ricky Rubio,MIN,21,PG,41,1404,436,139,389,126,157,336,171,91,8,131,97
Brandon Rush,GSW,26,SF,65,1717,634,235,469,65,82,88,251,35,58,68,64
Walker Russell,DET,29,PG,28,357,84,33,95,14,22,58,26,18,1,33,29
John Salmons,SAC,32,SF,46,1250,344,141,345,29,45,93,134,37,7,45,77
Samardo Samuels,CLE,23,C,54,825,292,105,231,82,117,20,180,20,20,56,113
Larry Sanders,MIL,23,PF,52,643,186,84,184,18,38,33,160,32,76,43,133
Brian Scalabrine,CHI,33,PF,28,122,32,14,30,3,6,15,21,5,6,9,9
Luis Scola,HOU,31,PF,66,2067,1025,436,888,153,198,140,428,35,24,153,214
Thabo Sefolosha,OKC,27,SG,42,914,203,67,155,38,43,47,128,37,17,40,78
Josh Selby,MEM,20,PG,28,237,63,25,72,11,14,30,15,7,0,29,17
Kevin Seraphin,WAS,22,C,57,1176,453,203,382,47,70,33,280,19,76,66,133
Ramon Sessions,TOT,25,PG,64,1707,721,242,565,194,248,354,214,44,3,141,100
Ramon Sessions,CLE,25,PG,41,1006,430,141,354,122,147,212,127,27,1,82,63
Ramon Sessions,LAL,25,PG,23,701,291,101,211,72,101,142,87,17,2,59,37
Iman Shumpert,NYK,21,PG,59,1705,563,214,534,87,109,164,186,101,8,111,173
Xavier Silas,PHI,24,SG,2,39,11,4,15,2,3,3,4,0,0,3,5
Bobby Simmons,LAC,31,SF,28,418,80,28,90,4,7,11,55,15,3,10,41
Chris Singleton,WAS,22,SF,66,1431,306,116,312,30,44,49,233,70,30,38,176
James Singleton,WAS,30,PF,12,262,98,41,75,14,15,15,81,9,8,10,27
Brian Skinner,MEM,35,C,1,4,0,0,1,0,0,0,0,0,0,0,1
Donald Sloan,TOT,24,PG,33,669,183,79,198,23,30,105,67,13,3,49,37
Donald Sloan,ATL,24,PG,5,20,6,3,8,0,0,5,5,1,0,2,3
Donald Sloan,NOH,24,PG,3,41,12,5,14,2,4,8,3,2,0,5,2
Donald Sloan,CLE,24,PG,25,608,165,71,176,21,26,92,59,10,3,42,32
Craig Smith,POR,28,PF,47,464,156,59,117,38,53,19,110,16,5,24,55
Greg Smith,HOU,21,C,8,69,14,7,11,0,0,1,20,2,5,1,17
Ish Smith,TOT,23,PG,26,234,72,31,81,7,10,41,35,15,2,13,15
Ish Smith,GSW,23,PG,6,63,27,12,30,1,2,9,9,4,0,1,4
Ish Smith,ORL,23,PG,20,171,45,19,51,6,8,32,26,11,2,12,11
J.R. Smith,NYK,26,SG,35,967,436,165,405,39,55,84,136,54,6,46,87
Jason Smith,NOH,25,PF,40,947,396,181,348,33,47,34,196,21,41,40,102
Jerry Smith,NJN,24,PG,5,46,7,3,14,0,0,4,7,5,0,0,5
Josh Smith,ATL,26,PF,66,2329,1239,504,1101,203,322,257,632,93,115,164,172
Nolan Smith,POR,23,PG,44,541,167,67,180,20,28,62,56,18,3,42,55
Marreese Speights,MEM,24,PF,60,1345,526,221,488,84,109,48,374,21,29,74,147
Tiago Splitter,SAS,27,C,59,1121,549,212,343,125,181,65,306,21,47,87,134
Jerry Stackhouse,ATL,37,SF,30,273,108,37,100,21,23,14,23,10,3,13,12
Lance Stephenson,IND,21,SG,42,442,106,47,125,8,17,46,53,21,5,36,30
DeShawn Stevenson,NJN,30,SF,51,960,148,49,172,9,16,41,101,19,4,19,59
Greg Stiemsma,BOS,26,C,55,766,161,66,121,29,41,28,177,37,85,33,144
Julyan Stone,DEN,23,SG,22,179,36,13,31,8,11,37,25,8,6,11,18
Amar'e Stoudemire,NYK,29,PF,47,1543,823,316,654,186,243,52,367,38,45,112,138
Rodney Stuckey,DET,25,SG,55,1644,812,256,597,267,320,210,142,44,10,106,124
DaJuan Summers,NOH,24,SF,15,209,68,28,65,7,9,10,23,7,0,8,31
Jeff Teague,ATL,23,PG,66,2183,831,320,672,140,185,321,159,106,37,134,145
Sebastian Telfair,PHO,26,PG,60,895,368,141,342,53,67,138,91,41,12,68,120
Jason Terry,DAL,34,SG,63,2000,950,357,830,98,111,226,149,73,11,127,69
Hasheem Thabeet,TOT,24,C,20,139,35,11,21,13,20,0,42,1,10,8,20
Hasheem Thabeet,HOU,24,C,5,23,6,3,3,0,0,0,7,0,2,0,5
Hasheem Thabeet,POR,24,C,15,116,29,8,18,13,20,0,35,1,8,8,15
Isaiah Thomas,SAC,22,PG,65,1656,749,256,571,154,185,266,168,53,8,105,121
Kurt Thomas,POR,39,C,53,803,160,73,157,14,20,46,188,24,31,31,123
Lance Thomas,NOH,23,PF,42,630,166,57,126,52,62,12,126,10,7,24,78
Malcolm Thomas,SAS,23,PF,3,15,1,0,3,1,2,1,3,1,1,0,0
Tyrus Thomas,CHA,25,PF,54,1013,304,120,327,63,83,35,200,36,60,53,144
Trey Thompkins,LAC,21,C,24,119,57,24,61,5,7,3,24,3,3,6,10
Jason Thompson,SAC,25,PF,64,1657,583,237,443,109,181,79,443,43,44,68,149
Klay Thompson,GSW,21,SG,66,1608,826,318,718,79,91,133,161,49,20,103,155
Mychel Thompson,CLE,23,SG,5,95,18,7,24,0,0,7,5,2,1,5,8
Tristan Thompson,CLE,20,PF,60,1424,494,194,442,106,192,27,389,27,62,81,134
Marcus Thornton,SAC,24,SG,51,1780,952,352,803,141,163,98,188,71,12,84,111
Jamaal Tinsley,UTA,33,PG,37,507,137,57,141,13,17,123,45,17,8,52,47
Anthony Tolliver,MIN,26,SF,51,882,208,71,182,41,55,22,153,18,19,35,86
Ronny Turiaf,TOT,29,C,17,279,51,19,33,13,22,10,70,14,17,14,39
Ronny Turiaf,WAS,29,C,4,58,6,3,3,0,0,5,12,6,3,6,7
Ronny Turiaf,MIA,29,C,13,221,45,16,30,13,22,5,58,8,14,8,32
Hedo Turkoglu,ORL,32,SF,53,1653,576,209,504,67,95,233,199,45,17,142,139
Evan Turner,PHI,23,SF,65,1713,610,263,590,73,108,180,376,40,20,105,117
Jeremy Tyler,GSW,20,C,42,568,205,88,209,29,52,16,140,16,20,36,84
Edwin Ubiles,WAS,25,SF,4,52,14,5,18,3,3,1,10,1,1,1,1
Ekpe Udoh,TOT,24,C,61,1290,340,127,295,86,114,57,254,40,102,53,174
Ekpe Udoh,GSW,24,C,38,827,210,82,185,46,64,31,147,25,65,35,115
Ekpe Udoh,MIL,24,C,23,463,130,45,110,40,50,26,107,15,37,18,59
Beno Udrih,MIL,29,SG,59,1080,348,146,332,39,55,227,102,37,1,77,69
Ben Uzoh,TOT,23,PG,18,370,81,35,99,11,19,61,67,17,3,19,31
Ben Uzoh,CLE,23,PG,2,13,4,2,5,0,0,2,4,1,0,0,1
Ben Uzoh,TOR,23,PG,16,357,77,33,94,11,19,59,63,16,3,19,30
Anderson Varejao,CLE,29,C,25,785,271,114,222,43,64,43,287,35,17,45,62
Greivis Vasquez,NOH,25,SG,66,1706,589,225,523,96,117,359,173,60,8,148,126
Jan Vesely,WAS,21,PF,57,1078,267,117,218,33,62,47,249,39,32,60,156
Charlie Villanueva,DET,27,PF,13,180,91,35,91,6,7,6,48,7,5,7,25
Nikola Vucevic,PHI,21,C,51,812,283,131,291,18,34,31,246,20,34,33,111
Dwyane Wade,MIA,30,SG,49,1625,1082,416,837,235,297,225,237,82,63,129,110
Von Wafer,ORL,26,SG,33,469,194,71,157,38,54,29,45,10,3,35,26
Henry Walker,NYK,24,SG,32,620,189,68,171,17,20,37,80,19,7,35,84
Kemba Walker,CHA,21,PG,66,1792,799,281,767,168,213,289,234,60,20,119,79
John Wall,WAS,21,PG,66,2386,1076,378,894,317,402,530,300,95,57,255,137
Ben Wallace,DET,37,C,62,980,85,34,86,16,47,43,269,47,51,34,60
Gerald Wallace,TOT,29,SF,58,2076,800,287,632,180,225,164,386,85,36,111,145
Gerald Wallace,POR,29,SF,42,1503,557,203,430,125,161,115,277,62,25,84,107
Gerald Wallace,NJN,29,SF,16,573,243,84,202,55,64,49,109,23,11,27,38
Luke Walton,TOT,31,PF-SF,30,364,55,24,65,0,0,35,49,5,1,27,41
Luke Walton,LAL,31,SF,9,65,12,6,14,0,0,5,14,2,0,2,9
Luke Walton,CLE,31,PF,21,299,43,18,51,0,0,30,35,3,1,25,32
Hakim Warrick,PHO,29,PF,35,503,225,74,180,76,99,30,92,8,3,36,35
Darryl Watkins,NOH,27,C,5,98,23,7,14,9,18,3,27,5,4,8,14
C.J. Watson,CHI,27,PG,49,1159,474,161,437,84,104,200,105,45,8,97,103
Earl Watson,UTA,32,PG,50,1033,149,54,160,31,46,217,121,54,22,85,105
Martell Webster,MIN,25,SF,47,1140,324,115,272,57,72,40,168,31,17,46,86
David West,IND,31,PF,66,1925,842,349,716,142,176,140,433,52,46,93,160
Delonte West,DAL,28,PG,44,1060,421,166,360,62,70,139,101,58,11,76,67
Russell Westbrook,OKC,23,PG,66,2331,1558,578,1266,340,413,362,301,112,21,239,147
D.J. White,CHA,25,PF,58,1098,392,174,353,43,61,47,209,17,23,43,94
Hassan Whiteside,SAC,22,C,18,109,29,12,27,5,12,0,39,3,15,5,12
Chris Wilcox,BOS,29,C,28,481,152,64,107,24,39,12,122,11,9,30,64
Damien Wilkins,DET,32,SF,60,922,193,76,193,34,54,44,100,29,13,30,85
Deron Williams,NJN,27,PG,55,1999,1154,391,961,257,305,481,183,67,20,219,121
Derrick Williams,MIN,20,PF,66,1418,583,205,498,136,195,38,311,30,31,77,95
Elliot Williams,POR,22,SG,24,149,88,37,74,6,18,6,19,6,3,5,18
Jordan Williams,NJN,21,C,43,635,197,77,152,43,66,11,156,21,15,23,61
Lou Williams,PHI,25,PG,64,1682,956,318,782,237,292,221,155,53,18,71,90
Marvin Williams,ATL,25,SF,57,1500,579,203,470,115,146,71,294,47,18,39,84
Mo Williams,LAC,29,SG,52,1472,685,260,611,72,80,160,99,51,7,86,103
Reggie Williams,CHA,25,SF,33,747,274,106,255,29,40,60,93,20,3,33,34
Sean Williams,TOT,25,C,11,107,40,14,22,12,13,5,25,4,8,10,18
Sean Williams,DAL,25,C,8,65,29,12,16,5,6,2,13,1,5,7,14
Sean Williams,BOS,25,C,3,42,11,2,6,7,7,3,12,3,3,3,4
Shawne Williams,NJN,25,SF,25,514,113,42,147,8,11,16,68,10,11,13,44
Shelden Williams,NJN,28,C,58,1276,268,96,201,76,104,35,350,47,39,66,149
Terrence Williams,TOT,24,SG,30,550,213,85,198,27,46,65,102,20,7,43,35
Terrence Williams,HOU,24,SG,12,181,54,20,57,6,12,10,28,4,1,10,16
Terrence Williams,SAC,24,SG,18,369,159,65,141,21,34,55,74,16,6,33,19
Metta World Peace,LAL,32,SF,64,1720,493,183,465,71,115,140,218,69,27,69,137
Brandan Wright,DAL,24,C,49,791,340,144,233,52,82,13,174,22,63,21,61
Chris Wright,GSW,23,SF,24,186,70,23,45,24,31,4,45,7,13,8,22
Dorell Wright,GSW,26,SF,61,1650,629,222,526,80,98,94,278,58,26,51,97
Nick Young,TOT,26,SG,62,1729,879,316,784,144,169,56,133,44,17,83,141
Nick Young,WAS,26,SG,40,1211,665,240,591,112,130,46,97,30,11,59,90
Nick Young,LAC,26,SG,22,518,214,76,193,32,39,10,36,14,6,24,51
Sam Young,TOT,26,SF,35,375,114,45,127,19,26,15,62,17,6,16,23
Sam Young,MEM,26,SF,21,240,74,32,83,10,12,9,41,11,2,9,12
Sam Young,PHI,26,SF,14,135,40,13,44,9,14,6,21,6,4,7,11
Thaddeus Young,PHI,23,PF,63,1755,808,348,687,111,144,74,325,64,41,55,127
